dataset,method,repeat,n,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_ckd,BRL,0,1876,0.5217418335552012,0.4905284147557328,0.23221940118395276,0.0035868308963239058,0.6569358283101163,-0.12135818832364362,0.79021165376614
nhanes_ckd,BRL,1,1876,0.5318465747012098,0.47651386530843237,0.2314535764683837,0.003961499384254909,0.6554993660592073,0.007828514530760729,1.0335552431456567
nhanes_ckd,BRL,2,1876,0.5273598453263896,0.522202486678508,0.23294481746950202,0.011821992289230723,0.658732734652139,-0.2482845586713511,0.5263528351659682
nhanes_ckd,BRL,3,1876,0.5135741697021118,0.4824016563146998,0.23398475012465506,0.02028024272352677,0.6607990380923118,-0.41622542236097376,0.22264341599079746
nhanes_ckd,BRL,4,1876,0.47624063156765506,0.45464982778415614,0.23400373942922287,0.010865686728499966,0.6609240734052895,-0.7842275774268935,-0.47950583147339076
nhanes_ckd,BRL,5,1876,0.5374517864021806,0.5169172932330827,0.2320915351633312,0.005919841634356679,0.6567957057952115,-0.13986400138590027,0.7419745587266795
nhanes_ckd,BRL,6,1876,0.5185747304670929,0.491353001017294,0.23482083089284378,0.03543994372015373,0.6625490798133358,-0.39390269267979106,0.2685901088424278
nhanes_ckd,BRL,7,1876,0.556429414317549,0.48703494926719276,0.2310197385547444,0.009262348321722062,0.6545007286933339,0.04482937591445428,1.092725825346183
nhanes_ckd,BRL,8,1876,0.5346321137914052,0.48366013071895425,0.23365088296159064,0.032126420354997215,0.6603722076207588,-0.3076055653583451,0.4216198438844489
nhanes_ckd,BRL,9,1876,0.5309182648468624,0.5210229735587343,0.2324711421552495,0.008206390705721062,0.6575961515751919,-0.16203087497903249,0.7078008358530852
nhanes_ckd,EBM,0,1876,0.7130541211349882,0.5712319339298004,0.2015289658218061,0.013654664207325933,0.5892496096856263,-0.0473534356331751,0.9819311563716429
nhanes_ckd,EBM,1,1876,0.7265819667734559,0.5785714285714286,0.19760192453593242,0.03468505496904357,0.5807010138267213,-0.04999625333539333,0.9556834032351476
nhanes_ckd,EBM,2,1876,0.7296600788971948,0.5810356422326832,0.19658534795465882,0.018525408357016545,0.5787419120869287,0.04024488725331648,1.0843174472459094
nhanes_ckd,EBM,3,1876,0.7247948331602276,0.584070796460177,0.19723388900846245,0.018205137011488282,0.5797664513731012,0.02751654223912069,1.0365773319452793
nhanes_ckd,EBM,4,1876,0.7188763245025039,0.5618153364632238,0.19883176349926313,0.040253252883423206,0.5849781529605594,-0.014059099267382365,0.9958739957480214
nhanes_ckd,EBM,5,1876,0.7239646571775479,0.5862295081967213,0.19796386798625476,0.03241299297724647,0.5818373448176143,0.08247954210808198,1.1899945471794924
nhanes_ckd,EBM,6,1876,0.7289359606391745,0.5904761904761905,0.19672058171522047,0.01706922754976934,0.5788638922501457,-0.030754217583825377,0.9725132358529572
nhanes_ckd,EBM,7,1876,0.7245242031041998,0.583732057416268,0.19737728815286865,0.032461076704067324,0.5801691639297829,-0.06198784704727182,0.9476974477229738
nhanes_ckd,EBM,8,1876,0.7215155770759276,0.56,0.198094657314526,0.015808411458464032,0.582151331584979,0.0008349037766921055,0.9432572889955614
nhanes_ckd,EBM,9,1876,0.7116802469316403,0.5992779783393501,0.20299280361982278,0.050049682309840776,0.5938775363856578,-0.04013080616775427,0.9101335588191645
nhanes_ckd,EBRO-MH,0,1876,0.6536508238369003,0.52,0.2182121219014806,0.027098409871207593,0.6268556871747558,-0.0716341529013707,0.8793381210677153
nhanes_ckd,EBRO-MH,1,1876,0.6458037712664024,0.5384126984126985,0.21889239956841172,0.02011506134056035,0.6282758516607886,-0.09692396083739216,0.8593202315096489
nhanes_ckd,EBRO-MH,2,1876,0.6732757695889837,0.5063480209111277,0.21260984945014427,0.013419269190289098,0.6147189197586115,0.05307084238879744,1.0637883266584416
nhanes_ckd,EBRO-MH,3,1876,0.6412432891060431,0.5274447949526814,0.21824352016251647,0.02750893171638095,0.6271316119427315,-0.03207355401112607,0.9798066452457748
nhanes_ckd,EBRO-MH,4,1876,0.6692547189592202,0.5260482846251588,0.21274975441544194,0.01866201447508501,0.6155630712542043,0.026900980385864505,1.0428920146880671
nhanes_ckd,EBRO-MH,5,1876,0.6525908561174583,0.5491564863292612,0.2182349960014331,0.020164729941891724,0.6270007987280465,0.19997060337816808,1.3756122527214476
