dataset,metric,comparator,difference,ci_low,ci_high,p_value,p_value_holm
nhanes_ckd,AUC,EBM,-0.02884160583585682,-0.04466121128946273,-0.013109203966283619,0.0,0.0
nhanes_ckd,F1,EBM,-0.026075182003151287,-0.04951892406206455,-0.001931321033972203,0.032,0.032
nhanes_dm,AUC,XGBoost,-0.06870943901872884,-0.07696815979860931,-0.06081250865265786,0.0,0.0
nhanes_dm,F1,XGBoost,-0.07404733669819519,-0.0835492943243381,-0.06386231549089612,0.0,0.0
pidd,AUC,EBM,-0.04372388059701482,-0.06286540963310577,-0.024452809505057016,0.0,0.0
pidd,F1,EBM,-0.07025032795694086,-0.10761200988224076,-0.030694871772759532,0.001,0.002
temporal,AUC,EBM,-0.05381046909574727,-0.06507989265331131,-0.04335626459409447,0.0,0.0
temporal,F1,EBM,-0.045019164509570275,-0.05721106870752658,-0.033133135590758256,0.0,0.0
