dataset,method,repeats,auc_mean,auc_sd,auc_ci_low,auc_ci_high,f1_mean,f1_sd,f1_ci_low,f1_ci_high,brier_mean,brier_sd,brier_ci_low,brier_ci_high,ece_mean,ece_sd,ece_ci_low,ece_ci_high,log_loss_mean,log_loss_sd,log_loss_ci_low,log_loss_ci_high,calibration_intercept_mean,calibration_intercept_sd,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope_mean,calibration_slope_sd,calibration_slope_ci_low,calibration_slope_ci_high
nhanes_ckd,BRL,10,0.5248769364677657,0.02077091154497278,0.5100183214507635,0.5397355514847678,0.4926284598636787,0.021590168371470687,0.47718378381807774,0.5080731359092797,0.23286604144034762,0.0012277843728609238,0.2319877374101787,0.23374434547051653,0.014147119675878703,0.011414107948037048,0.005981958729755748,0.02231228062200166,0.6584704914016896,0.002630452926706808,0.6565887787347391,0.66035220406864,-0.2520840990740716,0.2419442117419696,-0.4251605618033183,-0.07900763634482488,0.5325968489247996,0.4604444762593033,0.20321471301666127,0.861978984832938
nhanes_ckd,EBM,10,0.7223587969396862,0.006155864986116514,0.7179551564096447,0.7267624374697277,0.5796440872085842,0.012293200591583866,0.570850061268912,0.5884381131482563,0.19849310896088154,0.0021193167415915577,0.19697704109384478,0.2000091768279183,0.027312490842768544,0.012361599071261881,0.018469535578300805,0.03615544610723628,0.5830336408901117,0.004970420317952074,0.5794780163900878,0.5865892653901356,-0.0093205783657591,0.04672624689170055,-0.04274652176982739,0.024105365038309193,1.001797941311615,0.08273598881127986,0.9426121803431542,1.0609837022800757
nhanes_ckd,EBRO-MH,10,0.6585879328252315,0.01282751159288549,0.6494116838208421,0.6677641818296209,0.5249085466430012,0.014406466140153661,0.5146027815990097,0.5352143116869927,0.2157841146598869,0.0028628238178258518,0.21373617387122787,0.21783205544854592,0.01959597512580474,0.004784505683653875,0.016173345943347045,0.023018604308262434,0.6217791541344033,0.006168990441250002,0.6173661242193881,0.6261921840494186,-0.0034372037298594366,0.08999459003773375,-0.06781545521335106,0.06094104775363218,1.0059897120309271,0.16066940412487354,0.8910537442120072,1.120925679849847
nhanes_ckd,LR,10,0.720750620498642,0.0036413774624078827,0.7181457359836626,0.7233555050136214,0.5741174767258768,0.015563518472501335,0.5629840063053709,0.5852509471463826,0.19880019394053763,0.0015286792376356425,0.197706642690881,0.19989374519019426,0.02797008398549473,0.0070745087994703165,0.022909285259443402,0.033030882711546056,0.5844093127753107,0.003929658725099661,0.5815982042682027,0.5872204212824187,-0.011043109247149945,0.04340801196533847,-0.04209533038101206,0.020009111886712172,0.9974845700020651,0.07571460033778307,0.9433216077676232,1.051647532236507
nhanes_ckd,Random Forest,10,0.7121399523105956,0.003980046279596358,0.7092927987184034,0.7149871059027877,0.5793090124381164,0.005854868075559725,0.5751206921267176,0.5834973327495152,0.20241511761059622,0.0015216706688599582,0.20132657998901424,0.2035036552321782,0.029871109377361215,0.004659792684491046,0.026537694500118964,0.03320452425460347,0.5918439768648105,0.003435042629221172,0.5893866953976935,0.5943012583319275,0.0022783267750921834,0.045295050709643715,-0.0301238005563429,0.034680454106527266,1.0197693024446584,0.0778184248136466,0.9641013548424573,1.0754372500468594
nhanes_ckd,RuleFit,10,0.712898813616349,0.00615398800855354,0.7084965157951696,0.7173011114375284,0.565444465332913,0.013110340200325957,0.5560658929309851,0.574823037734841,0.20201284543349113,0.002090770155074137,0.20051719856426148,0.20350849230272078,0.021870694759471176,0.004824100898157601,0.01841974086687485,0.025321648652067503,0.5905783291043909,0.004603137240010604,0.5872854430906186,0.5938712151181632,-0.008236748203824727,0.05621014531314196,-0.048447063839195406,0.03197356743154596,1.0008549948336212,0.07269246006009235,0.9488539415176374,1.052856048149605
nhanes_ckd,XGBoost,10,0.6911105340920728,0.005923364629821168,0.6868732142975479,0.6953478538865977,0.5460240541547373,0.0185899541304405,0.5327256020858488,0.5593225062236258,0.20776380636892827,0.0018248470140247437,0.20645838945510572,0.20906922328275082,0.02300062879216842,0.006804799982396499,0.018132768131012028,0.02786848945332481,0.6035752088959503,0.004504307945047969,0.6003530211008417,0.6067973966910589,-0.012993302735783812,0.043700697755590184,-0.04425489867098198,0.01826829319941435,0.9830306899864956,0.08535422260759619,0.9219719573903942,1.044089422582597
nhanes_dm,BRL,10,0.5466129022846834,0.019740851723532134,0.5324911476745118,0.560734656894855,0.2742224784534206,0.012452103871840483,0.2653147799548355,0.28313017695200576,0.1320670069093028,0.0005608540581677459,0.13166579608555082,0.13246821773305476,0.0021710127997904725,0.0023520598289118746,0.0004884505579221829,0.003853575041658762,0.4331068298107139,0.001997365449998258,0.43167800064231043,0.4345356589791174,0.23036897423048974,1.3966537477189804,-0.7687369294500934,1.229474877911073,1.1389321166201023,0.8347663220805502,0.5417762632480486,1.7360879699921559
nhanes_dm,EBM,10,0.8332009975867235,0.0011646778006579675,0.832367837278792,0.834034157894655,0.48699435482380365,0.00540562887597863,0.4831274008762579,0.4908613087713494,0.10306622495176317,0.00028110769319940093,0.10286513262211149,0.10326731728141485,0.009459550365274776,0.0027560144841388174,0.007488016371090894,0.011431084359458658,0.33249190992166655,0.0009361455998682788,0.33182223170180675,0.33316158814152635,0.006848318802312295,0.04992877191997453,-0.028868572997275684,0.04256521060190027,1.0101584431002233,0.04071548000905202,0.9810323432958374,1.0392845429046091
nhanes_dm,EBRO-MH,10,0.7345069740588765,0.012145094802895117,0.7258188966179571,0.743195051499796,0.39001491072577904,0.01028433702479818,0.3826579392117599,0.3973718822397982,0.11939738716510322,0.0013209192199277386,0.11845245847889853,0.1203423158513079,0.014223839090585624,0.004631496297339896,0.010910666229305966,0.017537011951865283,0.38851872599478565,0.004782494501444825,0.3850975355254104,0.39193991646416093,0.02348774181911123,0.07745079186154505,-0.03191721701194157,0.07889270065016403,1.0198623185540334,0.05259907797770874,0.9822352048749899,1.0574894322330768
nhanes_dm,LR,10,0.8124482506782945,0.0005685639442575095,0.812041524534284,0.812854976822305,0.461189475012495,0.005538802457145154,0.45722725442396894,0.4651516956010211,0.10815699740894809,0.00019829429513251886,0.10801514621551045,0.10829884860238573,0.012208099087667929,0.0010685923246853432,0.011443674188537022,0.012972523986798835,0.3490456314622175,0.0005820622455877468,0.3486292492151315,0.3494620137093035,0.010314787935274173,0.0401823926721968,-0.01842996416120684,0.039059540031755186,1.0116719756691672,0.03306919377577289,0.9880156995267859,1.0353282518115485
