dataset,repeat,fold,iteration,validation_auc,validation_nll,ess_before_resampling,resampled,mh_proposals,mh_acceptances,acceptance_rate,unique_rule_count
nhanes_dm,0,1,1,0.748759558694764,0.446289839315912,18.789607072712823,0,0,0,,20
nhanes_dm,0,1,2,0.7488485091076884,0.4460706399415428,18.81138972491186,0,0,0,,20
nhanes_dm,0,1,3,0.7513002048639197,0.4460409750235147,18.7266496884107,0,0,0,,20
nhanes_dm,0,1,4,0.7518005509366201,0.4460742140299669,18.696662460000663,0,0,0,,20
nhanes_dm,0,1,5,0.7516170907099633,0.4463216135263443,18.699433535264237,0,0,0,,20
nhanes_dm,0,1,6,0.7526344610577872,0.4446746860136553,18.736851860145343,0,0,0,,20
nhanes_dm,0,1,7,0.75281514158404,0.444415929251808,18.74815137903722,0,0,0,,20
nhanes_dm,0,1,8,0.7531014507256407,0.4441579552981755,18.75097666630055,0,0,0,,20
nhanes_dm,0,1,9,0.7527317505719234,0.4443147495482847,18.75687834165827,0,0,0,,20
nhanes_dm,0,2,1,0.7496990974312788,0.4884467622573845,18.822739223257805,0,0,0,,20
nhanes_dm,0,2,2,0.7503995819330592,0.4875851866900431,18.829705824438594,0,0,0,,20
nhanes_dm,0,2,3,0.751469766588557,0.4849745780378287,18.881620732096604,0,0,0,,20
nhanes_dm,0,2,4,0.7519423156572185,0.4838394744636737,18.90892007746362,0,0,0,,20
nhanes_dm,0,2,5,0.7519423156572186,0.4835503542412147,18.891977451106563,0,0,0,,20
nhanes_dm,0,2,6,0.7522758797056852,0.4827695640159974,18.913712773242157,0,0,0,,20
nhanes_dm,0,3,1,0.7378019797026276,0.4734278228632635,19.093022664399573,0,0,0,,20
nhanes_dm,0,3,2,0.7375017720590076,0.4735787908857731,19.062275727865718,0,0,0,,20
nhanes_dm,0,3,3,0.7377575044961655,0.4728395310518295,19.114628981247886,0,0,0,,20
nhanes_dm,0,3,4,0.7384218528926952,0.4717054408991308,19.148401033964525,0,0,0,,20
nhanes_dm,0,4,1,0.7241590002216803,0.5034317427489473,18.97899327556281,0,0,0,,20
nhanes_dm,0,4,2,0.7254946242518289,0.5014101231044422,18.978118607828307,0,0,0,,20
nhanes_dm,0,4,3,0.7251565617379738,0.5021499815852722,18.939564414062207,0,0,0,,20
nhanes_dm,0,4,4,0.7256691975171802,0.5011199016416218,18.950265252353752,0,0,0,,20
nhanes_dm,0,4,5,0.7260654511194857,0.5007688643539107,18.90339146278121,0,0,0,,20
nhanes_dm,0,5,1,0.6772389714032365,0.5122092646076714,18.869793257802133,0,0,0,,20
nhanes_dm,0,5,2,0.6766736865440035,0.5119537459934016,18.8764853231606,0,0,0,,20
nhanes_dm,0,5,3,0.6759947905120816,0.5120481576425185,18.883279732783382,0,0,0,,20
nhanes_dm,0,5,4,0.6765711593881623,0.5115925657909337,18.863129409617077,0,0,0,,20
nhanes_dm,1,1,1,0.7601188043952622,0.5385606166924203,18.90987650304925,0,0,0,,20
nhanes_dm,1,1,2,0.7598630719581043,0.5387100900485079,18.94754845359375,0,0,0,,20
nhanes_dm,1,1,3,0.7615420110020541,0.538570887931178,19.02361147138998,0,0,0,,20
nhanes_dm,1,1,4,0.761956186362234,0.5382470558374081,19.049442831841645,0,0,0,,20
nhanes_dm,1,1,5,0.7619311690585988,0.5376987558354495,19.089407905848265,0,0,0,,20
nhanes_dm,1,1,6,0.7623397850179707,0.5384442452927776,19.125042155279164,0,0,0,,20
nhanes_dm,1,2,1,0.7436852156074618,0.4301491600587389,19.526983778164112,0,0,0,,20
nhanes_dm,1,2,2,0.7452251696312172,0.4289879765817014,19.47958954016618,0,0,0,,20
nhanes_dm,1,2,3,0.7484329438973067,0.4276386548344379,19.39750283912538,0,0,0,,20
nhanes_dm,1,2,4,0.752154962738116,0.4254983601601433,19.35128481326659,0,0,0,,20
nhanes_dm,1,2,5,0.7531890112883634,0.4255755575116726,19.3202270543738,0,0,0,,20
nhanes_dm,1,2,6,0.7538283423812582,0.426217396416269,19.28987286628484,0,0,0,,20
nhanes_dm,1,2,7,0.7541702455309367,0.4256847143831033,19.27995207222016,0,0,0,,20
nhanes_dm,1,2,8,0.7546594728020215,0.4244094708259596,19.214531173763064,0,0,0,,20
nhanes_dm,1,2,9,0.7546205569963669,0.4230783474835232,19.14445190291748,0,0,0,,20
nhanes_dm,1,2,10,0.7540757357172043,0.4226927308642556,19.127081531812905,0,0,0,,20
nhanes_dm,1,2,11,0.7559353552874071,0.4226894270593841,18.996933056128213,0,0,0,,20
nhanes_dm,1,2,12,0.7559075582833682,0.4231893480111064,18.968854431801702,0,0,0,,20
nhanes_dm,1,2,13,0.7570722527525983,0.4215395060389734,18.853031624616747,0,0,0,,20
nhanes_dm,1,2,14,0.7562800381374895,0.4205316896891118,18.905075525868405,0,0,0,,20
nhanes_dm,1,2,15,0.7561966471253728,0.4204612371921633,18.933694850407637,0,0,0,,20
nhanes_dm,1,3,1,0.8034168077364622,0.4104057367501926,18.9267863415388,0,0,0,,20
nhanes_dm,1,3,2,0.8032027708053626,0.409633479335343,18.883852813491124,0,0,0,,20
nhanes_dm,1,3,3,0.8034612829429245,0.4093773376044826,18.890777943326786,0,0,0,,20
nhanes_dm,1,3,4,0.80337233253,0.4083635563294693,18.917919154760384,0,0,0,,20
nhanes_dm,1,4,1,0.7871300709377078,0.4354780453096123,19.045460563828343,0,0,0,,20
nhanes_dm,1,4,2,0.7872547661272445,0.4351595978676509,19.013474438850608,0,0,0,,20
nhanes_dm,1,4,3,0.7881498004876967,0.4340474289277015,19.05188077572488,0,0,0,,20
nhanes_dm,1,4,4,0.7880583573487032,0.4341016746254494,19.07129557497687,0,0,0,,20
nhanes_dm,1,4,5,0.7882883506982931,0.4334922403253158,19.12295521297966,0,0,0,,20
nhanes_dm,1,4,6,0.7885626801152736,0.4329204540448437,19.13790626344979,0,0,0,,20
nhanes_dm,1,5,1,0.7381234759476835,0.4543455086225846,19.069622978452397,0,0,0,,20
nhanes_dm,1,5,2,0.7381345599645311,0.4534700582833293,19.111817167357625,0,0,0,,20
nhanes_dm,1,5,3,0.7376440922190202,0.4535489185458585,19.16521558876995,0,0,0,,20
nhanes_dm,1,5,4,0.737951673686544,0.4524795134806491,19.15190484415947,0,0,0,,20
nhanes_dm,2,1,1,0.7362870429825074,0.4869828400804618,18.97408993468348,0,0,0,,20
nhanes_dm,2,1,2,0.7371042749012511,0.4856524246238918,19.062133049006743,0,0,0,,20
nhanes_dm,2,1,3,0.7381633407551335,0.4847479650576432,19.107659844685337,0,0,0,,20
