dataset,method,repeat,fold,status,message
nhanes_dm,XGBoost,2,5,succeeded,
nhanes_dm,RuleFit,2,5,succeeded,
nhanes_dm,BRL,2,5,succeeded,
nhanes_dm,EBM,2,5,succeeded,
nhanes_dm,EBRO-MH,3,1,succeeded,
nhanes_dm,LR,3,1,succeeded,
nhanes_dm,Random Forest,3,1,succeeded,
nhanes_dm,XGBoost,3,1,succeeded,
nhanes_dm,RuleFit,3,1,succeeded,
nhanes_dm,BRL,3,1,succeeded,
nhanes_dm,EBM,3,1,succeeded,
nhanes_dm,EBRO-MH,3,2,succeeded,
nhanes_dm,LR,3,2,succeeded,
nhanes_dm,Random Forest,3,2,succeeded,
nhanes_dm,XGBoost,3,2,succeeded,
nhanes_dm,RuleFit,3,2,succeeded,
nhanes_dm,BRL,3,2,succeeded,
nhanes_dm,EBM,3,2,succeeded,
nhanes_dm,EBRO-MH,3,3,succeeded,
nhanes_dm,LR,3,3,succeeded,
nhanes_dm,Random Forest,3,3,succeeded,
nhanes_dm,XGBoost,3,3,succeeded,
nhanes_dm,RuleFit,3,3,succeeded,
nhanes_dm,BRL,3,3,succeeded,
nhanes_dm,EBM,3,3,succeeded,
nhanes_dm,EBRO-MH,3,4,succeeded,
nhanes_dm,LR,3,4,succeeded,
nhanes_dm,Random Forest,3,4,succeeded,
nhanes_dm,XGBoost,3,4,succeeded,
nhanes_dm,RuleFit,3,4,succeeded,
nhanes_dm,BRL,3,4,succeeded,
nhanes_dm,EBM,3,4,succeeded,
nhanes_dm,EBRO-MH,3,5,succeeded,
nhanes_dm,LR,3,5,succeeded,
nhanes_dm,Random Forest,3,5,succeeded,
nhanes_dm,XGBoost,3,5,succeeded,
nhanes_dm,RuleFit,3,5,succeeded,
nhanes_dm,BRL,3,5,succeeded,
nhanes_dm,EBM,3,5,succeeded,
nhanes_dm,EBRO-MH,4,1,succeeded,
nhanes_dm,LR,4,1,succeeded,
nhanes_dm,Random Forest,4,1,succeeded,
nhanes_dm,XGBoost,4,1,succeeded,
nhanes_dm,RuleFit,4,1,succeeded,
nhanes_dm,BRL,4,1,succeeded,
nhanes_dm,EBM,4,1,succeeded,
nhanes_dm,EBRO-MH,4,2,succeeded,
nhanes_dm,LR,4,2,succeeded,
nhanes_dm,Random Forest,4,2,succeeded,
nhanes_dm,XGBoost,4,2,succeeded,
nhanes_dm,RuleFit,4,2,succeeded,
nhanes_dm,BRL,4,2,succeeded,
nhanes_dm,EBM,4,2,succeeded,
nhanes_dm,EBRO-MH,4,3,succeeded,
nhanes_dm,LR,4,3,succeeded,
nhanes_dm,Random Forest,4,3,succeeded,
nhanes_dm,XGBoost,4,3,succeeded,
nhanes_dm,RuleFit,4,3,succeeded,
nhanes_dm,BRL,4,3,succeeded,
nhanes_dm,EBM,4,3,succeeded,
nhanes_dm,EBRO-MH,4,4,succeeded,
nhanes_dm,LR,4,4,succeeded,
nhanes_dm,Random Forest,4,4,succeeded,
nhanes_dm,XGBoost,4,4,succeeded,
nhanes_dm,RuleFit,4,4,succeeded,
nhanes_dm,BRL,4,4,succeeded,
nhanes_dm,EBM,4,4,succeeded,
nhanes_dm,EBRO-MH,4,5,succeeded,
nhanes_dm,LR,4,5,succeeded,
nhanes_dm,Random Forest,4,5,succeeded,
nhanes_dm,XGBoost,4,5,succeeded,
nhanes_dm,RuleFit,4,5,succeeded,
nhanes_dm,BRL,4,5,succeeded,
nhanes_dm,EBM,4,5,succeeded,
nhanes_dm,EBRO-MH,5,1,succeeded,
nhanes_dm,LR,5,1,succeeded,
nhanes_dm,Random Forest,5,1,succeeded,
nhanes_dm,XGBoost,5,1,succeeded,
nhanes_dm,RuleFit,5,1,succeeded,
nhanes_dm,BRL,5,1,succeeded,
nhanes_dm,EBM,5,1,succeeded,
nhanes_dm,EBRO-MH,5,2,succeeded,
nhanes_dm,LR,5,2,succeeded,
nhanes_dm,Random Forest,5,2,succeeded,
nhanes_dm,XGBoost,5,2,succeeded,
nhanes_dm,RuleFit,5,2,succeeded,
nhanes_dm,BRL,5,2,succeeded,
nhanes_dm,EBM,5,2,succeeded,
nhanes_dm,EBRO-MH,5,3,succeeded,
nhanes_dm,LR,5,3,succeeded,
nhanes_dm,Random Forest,5,3,succeeded,
nhanes_dm,XGBoost,5,3,succeeded,
nhanes_dm,RuleFit,5,3,succeeded,
nhanes_dm,BRL,5,3,succeeded,
nhanes_dm,EBM,5,3,succeeded,
nhanes_dm,EBRO-MH,5,4,succeeded,
nhanes_dm,LR,5,4,succeeded,
nhanes_dm,Random Forest,5,4,succeeded,
nhanes_dm,XGBoost,5,4,succeeded,
nhanes_dm,RuleFit,5,4,succeeded,
