dataset,variant,repeat,fold,training_time_seconds,rule_count,average_condition_length,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_dm,Quantile clinical,0,1,3.0165886869999667,20,1.75,0.7516442739345405,0.38190954773869346,0.1190265577279203,0.024313718970893423,0.38448830804062467,0.07169335631647589,1.0672262584346413
nhanes_dm,Outcome-blind random,0,1,1.7795610369994392,20,1.95,0.526083823538218,0.24390243902439024,0.13270668264708574,0.00024677802916139857,0.4354420014002083,1.6166052512372784,1.9673049845009
nhanes_dm,Quantile clinical,0,2,2.5136861769997267,20,1.7,0.732885917432246,0.3978494623655914,0.12040652078591962,0.015261684050129457,0.39058056088466253,0.213612568761988,1.148057173550101
nhanes_dm,Outcome-blind random,0,2,1.6655008309999175,20,1.6,0.5187648086076388,0.2553191489361702,0.132881764048075,0.002854012842293539,0.43599915303425013,-0.9105544471243637,0.45524836743871233
nhanes_dm,Quantile clinical,0,3,5.48343536899938,20,1.8,0.7341160365800691,0.35902536051715567,0.12011848915781984,0.01548795092885863,0.3901690163126583,0.07896202647969003,1.0607058927823154
nhanes_dm,Outcome-blind random,0,3,2.418229971999608,20,1.4,0.7043370686220769,0.35611510791366907,0.12258933542551152,0.012450324503038646,0.3989372581088367,-0.1894641921532761,0.8865157884060123
nhanes_dm,Quantile clinical,0,4,4.994780803999674,20,1.75,0.7548151949486219,0.41289198606271776,0.11813934109268784,0.018160519790003014,0.3821731017754071,0.14257377885659792,1.1232027752848517
nhanes_dm,Outcome-blind random,0,4,2.078390689999651,20,1.7,0.5301916274528633,0.23655913978494625,0.13250544968378158,0.0006752606057289501,0.4349643401895673,-0.4408460052374236,0.7398747539049613
nhanes_dm,Quantile clinical,0,5,3.2255351869998776,20,1.65,0.6925582805147411,0.34895191122071517,0.12478873753256178,0.022659053220297008,0.4063203559332349,-0.109887555731282,0.9273157613628747
nhanes_dm,Outcome-blind random,0,5,2.1501942750001035,20,1.5,0.5801627172764813,0.2866161616161616,0.1310437166430855,0.006340874059374137,0.42972962285511856,0.5081233218936088,1.3014087944377162
nhanes_dm,Quantile clinical,1,1,3.141322084999956,20,1.65,0.7639346601966942,0.4216290212183436,0.11745680503890785,0.022682881203233432,0.3783309958652011,0.15579309112753462,1.1184349387506398
nhanes_dm,Outcome-blind random,1,1,2.0272470490008345,20,1.3,0.4983956477391358,0.2508591065292096,0.1329101750650598,0.00019491796825132912,0.4362294266897778,-2.374070030011273,-0.41640172750908006
nhanes_dm,Quantile clinical,1,2,3.2045432020004228,20,1.95,0.7581188362992983,0.3965616045845272,0.11813448591851743,0.028014041126028486,0.382207580709288,-0.012092253007101223,0.9759052217384822
nhanes_dm,Outcome-blind random,1,2,2.007724407999376,20,1.75,0.5398011440507464,0.1997874601487779,0.13249071205747176,0.0005817281996478602,0.43453364125341387,0.900709224369227,1.5399872455319865
nhanes_dm,Quantile clinical,1,3,3.152013239000553,20,1.8,0.7887609844547686,0.4511691884456671,0.11443392983636352,0.03970250000208398,0.3680446042797692,0.028817159020374426,1.0145358225905463
nhanes_dm,Outcome-blind random,1,3,2.105356830999881,20,1.55,0.6044468008415134,0.28825136612021857,0.13077572150106695,0.01838550760816795,0.42700259759743137,-0.21601791597892434,0.8716241271921392
nhanes_dm,Quantile clinical,1,4,3.2221256869997887,20,1.75,0.7634447325458561,0.42150170648464164,0.11648662018230001,0.020075759835521952,0.3767526900788259,0.17371593038143815,1.101056995477687
nhanes_dm,Outcome-blind random,1,4,2.0085139849998086,20,1.85,0.5327415250168059,0.2571041948579161,0.1323109194858025,0.0001913326936307802,0.4342407785050426,1.1500381398996047,1.6852297235709308
nhanes_dm,Quantile clinical,1,5,2.854175044999465,20,1.75,0.7402605717212458,0.3567193675889328,0.1176183515583328,0.016828174301660954,0.3844680484543426,-0.20276523670785526,0.9193566527723384
nhanes_dm,Outcome-blind random,1,5,1.9176776590002191,20,1.5,0.539043743397676,0.2836700336700337,0.13236293930133,0.00022183857916940886,0.434398517644988,1.6735323890882499,2.00078498833211
nhanes_dm,Quantile clinical,2,1,3.049644011000055,20,1.75,0.7245025260439019,0.3971631205673759,0.1203863528598798,0.009683972329519988,0.39217206053778153,-0.14927692661225714,0.9083677742823003
nhanes_dm,Outcome-blind random,2,1,1.9268152779995944,20,1.7,0.5985152131517962,0.27598896044158233,0.13070754988910988,0.007990562668808822,0.4282656424371816,-0.04389836150487081,0.9717519243677736
nhanes_dm,Quantile clinical,2,2,2.767092696999498,20,1.9,0.658625461669108,0.36502347417840375,0.1261539899550911,0.011026892540530029,0.41330929075385736,0.20870724326711457,1.122141205199276
nhanes_dm,Outcome-blind random,2,2,1.869788895000056,20,1.7,0.6184558809580152,0.313953488372093,0.129042125386965,0.013285205150988357,0.42387581517039763,-0.3360363641769946,0.7981746011995603
nhanes_dm,Quantile clinical,2,3,3.039319995000369,20,1.8,0.7543660742724374,0.40153256704980844,0.11721541410447503,0.015287404070774158,0.38093071424427927,-0.13893866216544146,0.9080860535524479
nhanes_dm,Outcome-blind random,2,3,1.8911755990002348,20,1.35,0.5317160062264797,0.263724434876211,0.13266417218670218,0.0028803084725246416,0.4352817837194462,-0.4398475948058205,0.7392666293335913
nhanes_dm,Quantile clinical,2,4,2.236613545000182,20,1.65,0.7669319600499376,0.40946745562130177,0.11581441833725514,0.02384393477148433,0.37418986937333476,0.09003656139056802,1.079643554572496
