dataset,method,repeat,seed,fold,n_test,positive_test,threshold,training_time_seconds,rule_count,average_condition_length,initializer_mode,reviewed_rule_count,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
pidd,EBRO-MH,0,42,1,154,54,0.34210294217194104,1.7529376400002548,20.0,1.9,hybrid,0,0.7519444444444445,0.616822429906542,0.20066996298325654,0.08286232070651092,0.5856328744651629,0.6206268102393319,1.7808199679377856
pidd,LR,0,42,1,154,54,0.14052249242662349,0.014312525999685022,,,not_applicable,0,0.8172222222222222,0.6447368421052632,0.1702194708851697,0.1118738620159758,0.5104100070365895,0.10190593029688592,0.8305557692040246
pidd,Random Forest,0,42,1,154,54,0.2259436265047155,6.005257120999886,,,not_applicable,0,0.8592592592592593,0.7384615384615385,0.15344669324410584,0.08997344420826892,0.46013537069399774,0.3053015503478531,1.0448302223322146
pidd,XGBoost,0,42,1,154,54,0.24211084086366869,1.2495835459999398,,,not_applicable,0,0.8194444444444444,0.6666666666666666,0.16949542328458356,0.10336301200328324,0.5055805705798083,0.3422186971141268,1.3015004627376263
pidd,RuleFit,0,42,1,154,54,0.20285263618373686,2.667900900999939,29.0,3.413793103448276,not_applicable,0,0.8723148148148148,0.697986577181208,0.14541337620475941,0.07901183072242242,0.44574609650557784,0.3733831261633118,1.3905656161327935
pidd,BRL,0,42,1,154,54,0.5476134389403633,2.7898429080000824,4.0,1.0,not_applicable,0,0.7862962962962963,0.6274509803921569,0.17861556442271231,0.07191012052349452,0.5354665474069045,0.3729926891647874,1.7235244821617492
pidd,EBM,0,42,1,154,54,0.2534522923115914,12.735735140000088,,,not_applicable,0,0.8531481481481481,0.7121212121212122,0.15569206956911869,0.08878437977051694,0.46886312587684453,0.20554085533567523,1.0665223366368528
pidd,EBRO-MH,0,42,2,154,54,0.32819048475471296,1.906742000000122,20.0,1.85,hybrid,0,0.8010185185185185,0.6126126126126126,0.17160510126149375,0.10614019235676145,0.5201965227069641,0.6336482283200964,1.5512945836830538
pidd,LR,0,42,2,154,54,0.3509727189564851,0.01908348599999954,,,not_applicable,0,0.862037037037037,0.7450980392156863,0.1485283322979081,0.0801746935464044,0.455358333373158,0.3095760518831043,0.990949249231932
pidd,Random Forest,0,42,2,154,54,0.14822417247599423,1.8016649569999572,,,not_applicable,0,0.8501851851851852,0.703125,0.15951265176121035,0.10397413742413829,0.4891124679395978,0.33357058143006707,0.7034388823982367
pidd,XGBoost,0,42,2,154,54,0.48285092208187724,0.41068696199999977,,,not_applicable,0,0.8233333333333331,0.56,0.1671077421716354,0.09893264786375995,0.5052446016008235,0.2081422700541304,0.7522021259413283
pidd,RuleFit,0,42,2,154,54,0.347144358462891,1.6341339109999353,26.0,2.8076923076923075,not_applicable,0,0.8544444444444445,0.6728971962616822,0.15189602989979814,0.08247298559633008,0.4695693902314621,0.4042839897593638,0.8754345417065377
pidd,BRL,0,42,2,154,54,0.4651850262473761,2.2308532499996545,4.0,1.25,not_applicable,0,0.8352777777777778,0.7339449541284404,0.15257482134487083,0.07816441106646047,0.47337468293755125,0.38350380306581605,1.2527428705244565
pidd,EBM,0,42,2,154,54,0.3828150278374031,10.120275893000326,,,not_applicable,0,0.8485185185185186,0.6730769230769231,0.15178315018102084,0.07043282203288728,0.48147123897216465,0.2757872055161042,0.815155229600495
pidd,EBRO-MH,0,42,3,154,54,0.44122254908888753,1.9354768070002137,20.0,1.8,hybrid,0,0.6606481481481482,0.46153846153846156,0.207261852789882,0.10888613202726771,0.6037539434188149,-0.13993184467110426,0.7318461268872465
pidd,LR,0,42,3,154,54,0.3279014366012125,0.014184519000082219,,,not_applicable,0,0.8496296296296296,0.6842105263157895,0.15773496727733294,0.0724617186400372,0.4774040751824813,0.5649041133064605,1.4908052910997553
pidd,Random Forest,0,42,3,154,54,0.3828488465609356,1.9814961470001435,,,not_applicable,0,0.8264814814814815,0.6666666666666666,0.16038894861280822,0.06243925058791587,0.4866102620851957,0.2908016790452266,1.1187037075567692
pidd,XGBoost,0,42,3,154,54,0.27053239766210607,2.3519105389996184,,,not_applicable,0,0.782962962962963,0.6666666666666666,0.17526641858285946,0.07846848288031294,0.5258593967995819,0.1670524149200243,1.164481588390295
pidd,RuleFit,0,42,3,154,54,0.3588040071465779,1.6802670130000479,28.0,2.9285714285714284,not_applicable,0,0.8337037037037036,0.6607142857142857,0.15903288422474968,0.06844290525048603,0.48263811439169174,0.2571411934915926,1.2185982005652474
pidd,BRL,0,42,3,154,54,0.31686689122119277,5.259069515000192,4.0,1.25,not_applicable,0,0.7757407407407408,0.6825396825396826,0.17990555334142572,0.061124498939386235,0.5364432773426133,0.30346025357536166,1.1201848973777662
pidd,EBM,0,42,3,154,54,0.2511585099346032,16.926918084000135,,,not_applicable,0,0.8355555555555556,0.6861313868613139,0.15682440986247403,0.0501911510635566,0.47557286339522636,0.3069142476409117,1.231860029927685
pidd,EBRO-MH,0,42,4,153,53,0.366928823570422,1.9901312800002415,20.0,1.8,hybrid,0,0.7678301886792452,0.5773195876288659,0.18504145597096494,0.10298029153290034,0.5479039867756189,0.36061420617604373,1.306216933226432
pidd,LR,0,42,4,153,53,0.14071377595426432,0.014315221999822825,,,not_applicable,0,0.8222641509433963,0.6363636363636364,0.16438688748059682,0.07452564764025539,0.49230999368132383,0.3497178397589623,1.0582015021448563
pidd,Random Forest,0,42,4,153,53,0.18446802100813556,1.747841089999838,,,not_applicable,0,0.829245283018868,0.6857142857142857,0.1596142441739132,0.07577801307385737,0.4788346946951812,0.2809095282255103,1.0485461756905963
pidd,XGBoost,0,42,4,153,53,0.24378239258610274,0.30180325999981505,,,not_applicable,0,0.8,0.6814814814814815,0.1730604575817336,0.060524357978327066,0.5118598096473566,0.20749523745703982,1.065190613698233
pidd,RuleFit,0,42,4,153,53,0.31260263378214775,1.974997870000152,29.0,2.9310344827586206,not_applicable,0,0.815566037735849,0.6829268292682927,0.16971569462713865,0.07137071857687809,0.5057122569928583,0.10388648655053348,0.876817655779241
pidd,BRL,0,42,4,153,53,0.48661094279151224,1.9568551130000742,4.0,1.5,not_applicable,0,0.7456603773584906,0.5631067961165048,0.18916919136229549,0.053783430601342344,0.5530183932030158,0.20388680174210302,1.1421921062730056
pidd,EBM,0,42,4,153,53,0.19480598548791256,10.776257378000082,,,not_applicable,0,0.8239622641509434,0.6573426573426573,0.1634286593499691,0.06917493240113827,0.4853523638795827,0.30915935186101323,1.180793766763894
pidd,EBRO-MH,0,42,5,153,53,0.3731421547603727,2.6437703730002795,20.0,1.9,hybrid,0,0.7154716981132075,0.5932203389830508,0.20668395710117823,0.13385221315056967,0.6000559387833866,-0.4108334133749727,0.619296519240105
pidd,LR,0,42,5,153,53,0.4852090483685894,0.019942975000049046,,,not_applicable,0,0.8158490566037736,0.6495726495726496,0.17128796185204603,0.09326836848340357,0.528172520326396,-0.5753366094634149,0.7568216735433707
pidd,Random Forest,0,42,5,153,53,0.3734359738557205,2.5648400550003316,,,not_applicable,0,0.8028301886792454,0.65625,0.17758513911292007,0.09669805461363412,0.5229862925438004,-0.41208796248813817,0.7639892491995668
pidd,XGBoost,0,42,5,153,53,0.4532279072612828,0.32231848999981594,,,not_applicable,0,0.7571698113207548,0.5535714285714286,0.18551046013294187,0.10764341584762613,0.5437660260205536,-0.24219552942645664,0.8438929721234621
pidd,RuleFit,0,42,5,153,53,0.43915940507213774,1.8941927990003933,27.0,3.074074074074074,not_applicable,0,0.7867924528301887,0.6260869565217392,0.1785673975446149,0.08166601488495716,0.5253771672944494,-0.3175639413624037,0.8757116479531889
pidd,BRL,0,42,5,153,53,0.8309816383098474,2.1170857769998292,4.0,1.25,not_applicable,0,0.764433962264151,0.6138613861386139,0.19244366513640151,0.10442352953875056,0.5758539247322071,-0.4398593957525999,0.6090405689928173
pidd,EBM,0,42,5,153,53,0.22403885915711227,9.570946745000128,,,not_applicable,0,0.8058490566037735,0.6225165562913907,0.1713227630347792,0.1149556954323298,0.5226178060944436,-0.35656600310601644,0.7295794571603048
pidd,EBRO-MH,1,123,1,154,54,0.40678487826691045,2.058559757999774,20.0,1.75,hybrid,0,0.8255555555555554,0.6837606837606838,0.16081251027521917,0.0667466454932508,0.4956481962212689,-0.13061386856350807,1.0669458173557276
pidd,LR,1,123,1,154,54,0.29894647733130214,0.023394347000248672,,,not_applicable,0,0.827037037037037,0.6875,0.15537098833030488,0.0525751122416204,0.5020183051449102,-0.08896989542326743,0.8305230594087302
pidd,Random Forest,1,123,1,154,54,0.3788286100897516,2.172285781000028,,,not_applicable,0,0.8305555555555556,0.6984126984126984,0.15861405519624452,0.10241553757084834,0.4980875086382948,-0.25594405169351747,0.722371823574231
pidd,XGBoost,1,123,1,154,54,0.410571155932157,1.027254893999725,,,not_applicable,0,0.7818518518518519,0.656,0.1823954512581753,0.07647781204176574,0.5608414319294512,-0.25537431763891066,0.6122132710971379
pidd,RuleFit,1,123,1,154,54,0.26135988513804415,1.6389186780002092,26.0,2.8461538461538463,not_applicable,0,0.8035185185185185,0.6811594202898551,0.1701020999188084,0.0737864696952147,0.5212369241973444,-0.21043976350235052,0.725377185474006
pidd,BRL,1,123,1,154,54,0.284798973442526,1.9328750689996923,4.0,1.25,not_applicable,0,0.7792592592592593,0.5974025974025974,0.17135379403621231,0.05342202183543751,0.5230591335367766,-0.10639297585287201,0.8792636793708
pidd,EBM,1,123,1,154,54,0.1929003531231515,11.548487887999727,,,not_applicable,0,0.8448148148148148,0.6573426573426573,0.15037757919736977,0.06771905096776785,0.5030882078242878,-0.16474078504599474,0.6393903077617175
pidd,EBRO-MH,1,123,2,154,54,0.5364585604634208,1.8983259990000079,20.0,1.85,hybrid,0,0.8009259259259258,0.5656565656565656,0.17171547695534795,0.07307689711366068,0.5205140215336403,-0.27207558837203066,0.8904874128360536
pidd,LR,1,123,2,154,54,0.3352765083113244,0.02860757200005537,,,not_applicable,0,0.8414814814814815,0.6942148760330579,0.15792315483289238,0.06923778761048836,0.47356302898553887,-0.10142262945689992,0.9144605564124092
pidd,Random Forest,1,123,2,154,54,0.27652428839411136,2.67606589099978,,,not_applicable,0,0.855,0.6666666666666666,0.14762356961334855,0.060095644538729884,0.4593690865255323,-0.0832969876676649,1.1618332948489878
pidd,XGBoost,1,123,2,154,54,0.26072479911064184,2.6970364489998246,,,not_applicable,0,0.8372222222222222,0.6394557823129252,0.1547092530432887,0.06933431115887906,0.4799231824053205,-0.05131073056120673,1.1017188841984122
pidd,RuleFit,1,123,2,154,54,0.3195988839224216,1.655589362000228,26.0,3.076923076923077,not_applicable,0,0.8446296296296295,0.7096774193548387,0.15279721560860116,0.06811082784845485,0.46984802272903525,0.003077817414681233,1.1167702440333578
pidd,BRL,1,123,2,154,54,0.5656510633124611,2.2541345989998263,5.0,1.4,not_applicable,0,0.8100925925925926,0.6728971962616822,0.16221892723842296,0.03613336327837741,0.48381699085474417,0.07061651622437327,1.0461272946357238
pidd,EBM,1,123,2,154,54,0.47477945114138925,10.796948997000072,,,not_applicable,0,0.8470370370370371,0.6909090909090909,0.15039870770773944,0.048338502867358676,0.4720828285431857,-0.15832319681923585,0.9074228107122312
pidd,EBRO-MH,1,123,3,154,54,0.3409261405313385,2.02080699499993,20.0,1.85,hybrid,0,0.7371296296296297,0.6306306306306306,0.19324798442996646,0.09319308279885831,0.5720440054071416,0.012232948072715981,0.8538862421885035
pidd,LR,1,123,3,154,54,0.28289435562288245,0.03661937399965609,,,not_applicable,0,0.8325925925925926,0.6617647058823529,0.16141568382382182,0.09928551641103905,0.48863625383738274,0.48050391220118593,1.6160548708058893
pidd,Random Forest,1,123,3,154,54,0.40471231660157647,2.8413281439998173,,,not_applicable,0,0.8011111111111111,0.6226415094339622,0.17280266210565035,0.0849274449731803,0.5079556076407282,0.026708863833568835,0.8811880925057188
pidd,XGBoost,1,123,3,154,54,0.31946731166350967,1.5871606480000082,,,not_applicable,0,0.7627777777777778,0.6129032258064516,0.18719124021071942,0.0901219132085548,0.5466573662706419,0.056492739804115275,0.9550183794362546
pidd,RuleFit,1,123,3,154,54,0.28693186330592974,4.820006814999942,26.0,3.0,not_applicable,0,0.7892592592592592,0.6612903225806451,0.1807439569176646,0.0838057205817573,0.5342727625923451,-0.029432398668372026,0.8532155941527534
pidd,BRL,1,123,3,154,54,0.5185185269538614,4.652421502999914,5.0,1.2,not_applicable,0,0.7442592592592593,0.5739130434782609,0.19461745192642166,0.09243265249508165,0.5715415256023458,-0.1794248598224378,0.9463559299152767
pidd,EBM,1,123,3,154,54,0.32910999366256877,11.921018773000014,,,not_applicable,0,0.8305555555555556,0.6774193548387096,0.16238223824285014,0.09610811446119988,0.48429320155251454,0.30853257805818696,1.3905495082412476
pidd,EBRO-MH,1,123,4,153,53,0.4197376051026293,1.8214192740001636,20.0,1.85,hybrid,0,0.7081132075471698,0.5454545454545454,0.1931684468552323,0.06767184692610435,0.5720244030463043,-0.08328810973606629,1.0522820901482866
pidd,LR,1,123,4,153,53,0.5985585315197599,0.018418186999952013,,,not_applicable,0,0.8149056603773586,0.6,0.17095433970318893,0.10879763311430495,0.5174876019502578,-0.2722982981810387,1.0299705457084396
pidd,Random Forest,1,123,4,153,53,0.5186111004821798,1.6816997979999542,,,not_applicable,0,0.8026415094339623,0.6,0.17503250271970175,0.12835689093868063,0.5207743131378952,-0.3860326532425852,0.9081713732041498
