dataset,experiment,value,n_training,training_time_seconds,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
pidd,training_fraction,0.05,21,1.604712577999635,0.7162037037037037,0.5853658536585366,0.2019723458005292,0.07631734796400529,0.5868046806948167,0.039149003084268816,0.8716174476523624
pidd,training_fraction,0.1,42,1.7246971100003066,0.6246296296296296,0.5405405405405406,0.21611912708246053,0.14993716890295763,0.6325302268238617,-0.1942934279405046,0.6316462579248526
pidd,training_fraction,0.2,85,5.128634334999333,0.7506481481481483,0.59375,0.18989969388012318,0.09109429140123435,0.563361426310601,0.03160031372243119,0.7840351050701478
pidd,training_fraction,0.4,171,1.9089086490002956,0.6818518518518518,0.45544554455445546,0.21697971735440003,0.11911196577341711,0.6324526656202669,-0.1325966907387522,0.5230448874844263
pidd,training_fraction,0.8,343,1.9831594309998763,0.6630555555555556,0.5172413793103449,0.22722622677133975,0.13877777698888155,0.6566065249648003,-0.20273976824003873,0.4531296461387492
pidd,training_fraction,1.0,429,3.66041899999982,0.6733333333333333,0.5636363636363636,0.23456605585051227,0.17408212433572132,0.7116370826384703,-0.2800926368005179,0.35186419129756913
pidd,particles,5.0,429,2.6244204969998464,0.5601851851851852,0.46601941747572817,0.24527939584804462,0.16320951750591328,0.7460480482487721,-0.4565445088923317,0.18917903506289932
pidd,particles,10.0,429,1.5649865690002116,0.6128703703703704,0.5225225225225225,0.24352977643789678,0.12636151006077942,0.7265097281539118,-0.3836279391657258,0.2937631170937247
pidd,particles,20.0,429,1.716831804999856,0.6733333333333333,0.5636363636363636,0.23456605585051227,0.17408212433572132,0.7116370826384703,-0.2800926368005179,0.35186419129756913
pidd,particles,30.0,429,1.5111130379991664,0.6791666666666666,0.4854368932038835,0.2387855435335634,0.1847510083663919,0.7030098962040032,-0.3358379038507599,0.3575856123798274
pidd,particles,50.0,429,1.8857463750000534,0.7477777777777778,0.6231884057971014,0.21786856876022254,0.1480459832662273,0.629214807540612,-0.15671584939830727,0.4813618260496489
pidd,particles,100.0,429,1.9792825849999645,0.7762962962962963,0.5882352941176471,0.20664801529942786,0.14500628888097977,0.5947898633152197,-0.06836743238238593,0.5352255893066333
pidd,batch_size,16.0,429,1.459349067000403,0.6720370370370371,0.5636363636363636,0.23530079688917277,0.1922823947373162,0.7146732202392762,-0.2836712541732336,0.3474008541536534
pidd,batch_size,32.0,429,1.5535528529999283,0.6738888888888889,0.5636363636363636,0.23386261551946047,0.1822054471273768,0.7098296723920742,-0.2771753637769438,0.3548120864057275
pidd,batch_size,64.0,429,1.5138261239999338,0.6733333333333333,0.5636363636363636,0.23456605585051227,0.17408212433572132,0.7116370826384703,-0.2800926368005179,0.35186419129756913
pidd,batch_size,128.0,429,1.7222751620001873,0.6733333333333333,0.5636363636363636,0.2347741758610613,0.19120961787629756,0.7123035829458784,-0.28103957591663187,0.3508251320017179
pidd,batch_size,256.0,429,1.653542696999466,0.6733333333333333,0.5636363636363636,0.2347741758610613,0.19120961787629756,0.7123035829458784,-0.28103957591663187,0.3508251320017179
