method,auc_mean,auc_ci_low,auc_ci_high,f1_mean,f1_ci_low,f1_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_mean,ece_ci_low,ece_ci_high,log_loss_mean,log_loss_ci_low,log_loss_ci_high,calibration_intercept_mean,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope_mean,calibration_slope_ci_low,calibration_slope_ci_high
Bayesian Rule Lists,0.6173085785485082,0.6066993362198385,0.6279178208771778,0.4432613611662698,0.4259404864748151,0.4605822358577245,0.20002801134408738,0.19616840409466044,0.2038876185935143,0.08078237846064126,0.06810898886057155,0.09345576806071097,0.5886820026053828,0.5800668632789971,0.5972971419317685,-0.2922909205667722,-0.4788290573748655,-0.10575278375867891,1.1064613005204564,0.7763051532274408,1.4366174478134721
EBM,0.712497013040213,0.706464193337645,0.7185298327427809,0.4526332616079838,0.42084078492739485,0.4844257382885727,0.17633435778718926,0.17374265675332823,0.17892605882105028,0.03686664845169169,0.025629574426200064,0.04810372247718332,0.532767207630351,0.526352586558842,0.53918182870186,-0.0420313024100043,-0.13044828505487735,0.04638568023486875,1.1202350261070229,0.9517423468206705,1.2887277053933752
EBRO-MH,0.6258700587150952,0.6024668019682562,0.6492733154619341,0.39164038449177446,0.33651869256042666,0.44676207642312227,0.1959064635661089,0.19159490822251546,0.20021801890970237,0.0677173314598846,0.05324537558531069,0.08218928733445849,0.5795337730900472,0.569886100507697,0.5891814456723974,-0.127044571723461,-0.32017912653369895,0.06608998308677694,1.232732357281421,0.9404596141527612,1.5250051004100809
Logistic regression,0.733552945995767,0.7315120815762023,0.7355938104153318,0.494323368834663,0.46756663835641904,0.5210800993129069,0.16983830585212806,0.16874315752687533,0.1709334541773808,0.042544436518003756,0.03314859373181357,0.05194027930419394,0.51782193009157,0.5147728521097741,0.5208710080733658,0.18788997837989468,0.09378653903191866,0.2819934177278707,1.324913260299749,1.1961605704667202,1.453665950132778
Random forest,0.7029496227896497,0.6980161507395919,0.7078830948397075,0.47053241258961565,0.45356714786058183,0.48749767731864946,0.17839503876073584,0.17643236836637247,0.18035770915509922,0.050268841484002943,0.03780423697212613,0.06273344599587977,0.5388229651696237,0.5337661740123557,0.5438797563268917,-0.02334394429844492,-0.14229495583591514,0.09560706723902529,1.2075174600861116,0.9733384090376619,1.4416965111345612
RuleFit,0.7077296118659111,0.7027118196160027,0.7127474041158195,0.473883863446203,0.45213028212613793,0.49563744476626803,0.1792939311019934,0.17662776921738937,0.18196009298659743,0.057457368232059915,0.04401906677011841,0.07089566969400142,0.5424396082651308,0.5359156936355312,0.5489635228947305,0.07701911594908159,-0.0821652229001886,0.23620345479835178,1.371665885064744,1.0807229350780665,1.6626088350514217
XGBoost,0.6863807434969619,0.678100945073413,0.6946605419205107,0.4558558961682085,0.4357203552916121,0.47599143704480484,0.18199407153540914,0.17932557084848758,0.1846625722223307,0.045552694155455584,0.035357192296906606,0.05574819601400456,0.5469933482195277,0.5406390568993427,0.5533476395397128,-0.11523799848728014,-0.2335572836593129,0.0030812866847526182,1.0464508369119618,0.8342327219524673,1.2586689518714564
