dataset,method,repeat,fold,status,message
nhanes_ckd,Random Forest,3,1,succeeded,
nhanes_ckd,XGBoost,3,1,succeeded,
nhanes_ckd,RuleFit,3,1,succeeded,
nhanes_ckd,BRL,3,1,succeeded,
nhanes_ckd,EBM,3,1,succeeded,
nhanes_ckd,EBRO-MH,3,2,succeeded,
nhanes_ckd,LR,3,2,succeeded,
nhanes_ckd,Random Forest,3,2,succeeded,
nhanes_ckd,XGBoost,3,2,succeeded,
nhanes_ckd,RuleFit,3,2,succeeded,
nhanes_ckd,BRL,3,2,succeeded,
nhanes_ckd,EBM,3,2,succeeded,
nhanes_ckd,EBRO-MH,3,3,succeeded,
nhanes_ckd,LR,3,3,succeeded,
nhanes_ckd,Random Forest,3,3,succeeded,
nhanes_ckd,XGBoost,3,3,succeeded,
nhanes_ckd,RuleFit,3,3,succeeded,
nhanes_ckd,BRL,3,3,succeeded,
nhanes_ckd,EBM,3,3,succeeded,
nhanes_ckd,EBRO-MH,3,4,succeeded,
nhanes_ckd,LR,3,4,succeeded,
nhanes_ckd,Random Forest,3,4,succeeded,
nhanes_ckd,XGBoost,3,4,succeeded,
nhanes_ckd,RuleFit,3,4,succeeded,
nhanes_ckd,BRL,3,4,succeeded,
nhanes_ckd,EBM,3,4,succeeded,
nhanes_ckd,EBRO-MH,3,5,succeeded,
nhanes_ckd,LR,3,5,succeeded,
nhanes_ckd,Random Forest,3,5,succeeded,
nhanes_ckd,XGBoost,3,5,succeeded,
nhanes_ckd,RuleFit,3,5,succeeded,
nhanes_ckd,BRL,3,5,succeeded,
nhanes_ckd,EBM,3,5,succeeded,
nhanes_ckd,EBRO-MH,4,1,succeeded,
nhanes_ckd,LR,4,1,succeeded,
nhanes_ckd,Random Forest,4,1,succeeded,
nhanes_ckd,XGBoost,4,1,succeeded,
nhanes_ckd,RuleFit,4,1,succeeded,
nhanes_ckd,BRL,4,1,succeeded,
nhanes_ckd,EBM,4,1,succeeded,
nhanes_ckd,EBRO-MH,4,2,succeeded,
nhanes_ckd,LR,4,2,succeeded,
nhanes_ckd,Random Forest,4,2,succeeded,
nhanes_ckd,XGBoost,4,2,succeeded,
nhanes_ckd,RuleFit,4,2,succeeded,
nhanes_ckd,BRL,4,2,succeeded,
nhanes_ckd,EBM,4,2,succeeded,
nhanes_ckd,EBRO-MH,4,3,succeeded,
nhanes_ckd,LR,4,3,succeeded,
nhanes_ckd,Random Forest,4,3,succeeded,
nhanes_ckd,XGBoost,4,3,succeeded,
nhanes_ckd,RuleFit,4,3,succeeded,
nhanes_ckd,BRL,4,3,succeeded,
nhanes_ckd,EBM,4,3,succeeded,
nhanes_ckd,EBRO-MH,4,4,succeeded,
nhanes_ckd,LR,4,4,succeeded,
nhanes_ckd,Random Forest,4,4,succeeded,
nhanes_ckd,XGBoost,4,4,succeeded,
nhanes_ckd,RuleFit,4,4,succeeded,
nhanes_ckd,BRL,4,4,succeeded,
nhanes_ckd,EBM,4,4,succeeded,
nhanes_ckd,EBRO-MH,4,5,succeeded,
nhanes_ckd,LR,4,5,succeeded,
nhanes_ckd,Random Forest,4,5,succeeded,
nhanes_ckd,XGBoost,4,5,succeeded,
nhanes_ckd,RuleFit,4,5,succeeded,
nhanes_ckd,BRL,4,5,succeeded,
nhanes_ckd,EBM,4,5,succeeded,
nhanes_ckd,EBRO-MH,5,1,succeeded,
nhanes_ckd,LR,5,1,succeeded,
nhanes_ckd,Random Forest,5,1,succeeded,
nhanes_ckd,XGBoost,5,1,succeeded,
nhanes_ckd,RuleFit,5,1,succeeded,
nhanes_ckd,BRL,5,1,succeeded,
nhanes_ckd,EBM,5,1,succeeded,
nhanes_ckd,EBRO-MH,5,2,succeeded,
nhanes_ckd,LR,5,2,succeeded,
nhanes_ckd,Random Forest,5,2,succeeded,
nhanes_ckd,XGBoost,5,2,succeeded,
nhanes_ckd,RuleFit,5,2,succeeded,
nhanes_ckd,BRL,5,2,succeeded,
nhanes_ckd,EBM,5,2,succeeded,
nhanes_ckd,EBRO-MH,5,3,succeeded,
nhanes_ckd,LR,5,3,succeeded,
nhanes_ckd,Random Forest,5,3,succeeded,
nhanes_ckd,XGBoost,5,3,succeeded,
nhanes_ckd,RuleFit,5,3,succeeded,
nhanes_ckd,BRL,5,3,succeeded,
nhanes_ckd,EBM,5,3,succeeded,
nhanes_ckd,EBRO-MH,5,4,succeeded,
nhanes_ckd,LR,5,4,succeeded,
nhanes_ckd,Random Forest,5,4,succeeded,
nhanes_ckd,XGBoost,5,4,succeeded,
nhanes_ckd,RuleFit,5,4,succeeded,
nhanes_ckd,BRL,5,4,succeeded,
nhanes_ckd,EBM,5,4,succeeded,
